OBJID,RA,DEC,IMG_URL,REDSHIFT,P_ELLIPTICAL,P_SPIRAL,UMAG,GMAG,IMAG,ZMAG,LOG_MASS,R90_ARCSEC,AXIAL_RATIO,LOCAL_DENSITY,NEARCLUSTER_DIST,NEARCLUSTER_MASS,G-R
588010878754881573,170.3031912,4.55866835,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=170.303191166&dec=4.55866835475,0.0497205,0.96363628,0,-19.90849304,-21.53560638,-22.66579819,-22.88320923,11.06757832,17.30459023,0.78845572,1.67E-01,7.65153646,9.16E+13,7.51E-01
587726032245096501,172.1331876,2.09209765,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=172.133187581&dec=2.09209765427,0.0488841,0.95844156,0.02558703,-19.35979843,-21.0384655,-22.13113976,-22.38066483,10.85779095,11.1182642,0.72887945,-4.11E-01,8.67293644,9.16E+13,7.36E-01
587739377245683836,160.1805144,32.79626697,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=160.180514354&dec=32.7962669654,0.0818646,0.93563902,0.06436098,-19.78858757,-21.51340103,-22.65745735,-22.89390945,11.08446217,10.50936794,0.7627722,6.32E-02,8.494277,1.90E+14,7.79E-01
587734893826867354,180.0595635,10.69674702,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=180.059563501&dec=10.6967470168,0.0612228,0.90670627,0.06386793,-20.27382469,-22.04809952,-23.20285034,-23.39815712,11.27710056,18.06913567,0.84574485,1.26E+00,0.00025885,6.84E+13,7.55E-01
587727875842572445,352.391911,-8.97512941,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=352.391911042&dec=-8.97512940529,0.0707971,0.87249672,0.03894833,-19.12149811,-20.79189301,-21.84894562,-22.11605644,10.73661613,5.55140352,0.84150183,-2.44E-01,12.30768776,7.40E+13,7.26E-01
587732483274834151,146.8085099,43.05486532,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=146.808509927&dec=43.0548653247,0.0721441,0.89757419,0.05190808,-19.34019852,-21.23879242,-22.3872261,-22.66855431,10.98184299,11.79507446,0.67656171,6.32E-01,1.8274672,1.32E+14,7.80E-01
587731892185596058,166.4580883,57.31061891,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=166.458088341&dec=57.3106189112,0.0743071,0.94444448,0,-19.39067268,-21.24613571,-22.42324257,-22.67716789,10.98530865,9.57487774,0.8038612,5.35E-01,13.84627819,7.90E+13,7.93E-01
588010358540140732,158.8298893,3.87397601,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=158.829889312&dec=3.87397600858,0.0713758,1,0,-19.32860756,-21.11034966,-22.2803936,-22.57745361,10.9402771,8.67146587,0.85005182,-1.25E-01,10.18007374,4.52E+14,7.91E-01
587732482221342799,213.1192104,45.42472754,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=213.119210436&dec=45.424727544,0.0617434,0.80008048,0.12061736,-18.88683128,-20.64257622,-21.82577705,-22.07995796,10.73694706,7.57825947,0.89316469,-7.71E-01,15.85849953,2.63E+14,7.97E-01
587729158445859173,232.0462958,2.94939358,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=232.04629579&dec=2.94939357512,0.0759176,0.90303069,0.05018308,-18.52258492,-20.21419716,-21.27592278,-21.56794167,10.5238142,5.34127331,0.9443202,3.86E-01,13.75441647,1.88E+14,7.37E-01
587736524837290236,216.9919305,6.29731814,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=216.991930519&dec=6.29731814064,0.0533985,0.83035338,0.15136729,-18.0684948,-19.59671211,-20.66296959,-20.84647369,10.258811,5.58868122,0.76461887,-1.19E-01,8.9926672,4.36E+11,7.30E-01
587731870165369106,158.5199666,52.81963074,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=158.519966638&dec=52.8196307425,0.0650593,0.86292368,0.04738792,-17.76296043,-19.54062843,-20.59606361,-20.90320778,10.25085831,4.09631014,0.92653632,4.81E-01,29.42678642,1.18E+14,7.31E-01
587735662617886831,137.2231859,32.25301807,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=137.223185887&dec=32.253018072,0.0496876,0.9666667,0,-19.68305016,-21.57736969,-22.76415634,-22.95177841,11.1141758,20.2119236,0.73360568,6.19E-01,28.22570229,3.25E+14,7.83E-01
587738946667348057,140.1454597,30.17674313,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=140.145459651&dec=30.1767431338,0.0477735,0.90035725,0.07515364,-19.54745483,-21.29800224,-22.39425468,-22.64513779,10.93257618,13.02494431,0.93757802,-9.29E-01,36.88897324,3.25E+14,7.31E-01
587734863219327123,152.086052,8.64244548,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=152.086051982&dec=8.64244548034,0.0789798,0.89416564,0.1058344,-18.91147423,-20.64652061,-21.80902672,-22.08174896,10.71946144,7.2408185,0.60861588,-9.58E-03,19.1182766,7.11E+13,7.77E-01
587741533864263762,184.0146178,30.78749015,http://skyserver.sdss.org/dr12/en/tools/explore/Summary.aspx?ra=184.014617794&dec=30.7874901504,0.0443403,0.96153849,0,-18.17043495,-20.03662682,-21.15072441,-21.39715958,10.47035694,5.89182949,0.84216034,-7.02E-01,-999,-9.99E+02,7.55E-01
